time,daily_test,daily_confirm,daily_pct_positive,daily_vaccinated_dose1,daily_vaccinated_dose2,cumulative_positive,cumulative_dose1,cumulative_dose2,children_daily_test,children_daily_positive,children_cumulative_positive,children_daily_pct_positive
3/1/20,150,1,0.006666667,0,0,1,0,0,122,1,1,0.008196721
3/2/20,152,5,0.032894737,0,0,6,0,0,131,4,5,0.030534351
3/3/20,199,3,0.015075377,0,0,9,0,0,164,2,7,0.012195122
3/4/20,117,0,0,0,0,9,0,0,92,0,7,0
3/5/20,135,2,0.014814815,0,0,11,0,0,110,2,9,0.018181818
3/6/20,250,4,0.016,0,0,15,0,0,213,4,13,0.018779343
3/7/20,306,4,0.013071895,0,0,19,0,0,274,4,17,0.01459854
3/8/20,379,10,0.026385224,0,0,29,0,0,333,10,27,0.03003003
3/9/20,475,4,0.008421053,0,0,33,0,0,401,4,31,0.009975062
3/10/20,445,32,0.071910112,0,0,65,0,0,394,30,61,0.076142132
3/11/20,336,20,0.05952381,0,0,85,0,0,300,18,79,0.06
3/12/20,559,20,0.035778175,0,0,105,0,0,502,14,93,0.027888446
3/13/20,634,36,0.056782334,0,0,141,0,0,559,35,128,0.062611807
3/14/20,576,31,0.053819444,0,0,172,0,0,497,23,151,0.046277666
3/15/20,1021,40,0.039177277,0,0,212,0,0,839,37,188,0.044100119
3/16/20,1061,71,0.066918002,0,0,283,0,0,885,64,252,0.072316384
3/17/20,1366,93,0.068081991,0,0,376,0,0,1113,86,338,0.077268643
3/18/20,1761,124,0.070414537,0,0,500,0,0,1414,107,445,0.075671853
3/19/20,1749,135,0.077186964,0,0,635,0,0,1470,121,566,0.082312925
3/20/20,1957,167,0.085334696,0,0,802,0,0,1579,150,716,0.094996833
3/21/20,1776,217,0.122184685,0,0,1019,0,0,1448,208,924,0.143646409
3/22/20,2804,256,0.091298146,0,0,1275,0,0,2356,235,1159,0.099745331
3/23/20,3016,343,0.11372679,0,0,1618,0,0,2529,304,1463,0.120205615
3/24/20,4011,417,0.103964099,0,0,2035,0,0,3371,360,1823,0.106793236
3/25/20,5144,415,0.080676516,0,0,2450,0,0,4410,372,2195,0.084353741
3/26/20,5527,515,0.09317894,0,0,2965,0,0,4741,452,2647,0.095338536
3/27/20,4970,439,0.08832998,0,0,3404,0,0,4255,380,3027,0.089306698
3/28/20,4739,476,0.100443131,0,0,3880,0,0,4077,396,3423,0.097130243
3/29/20,6414,545,0.084970377,0,0,4425,0,0,5676,476,3899,0.083861875
3/30/20,6113,556,0.090953705,0,0,4981,0,0,5298,471,4370,0.088901472
3/31/20,6691,728,0.10880287,0,0,5709,0,0,5827,592,4962,0.101596019
4/1/20,7576,684,0.090285111,0,0,6393,0,0,6731,568,5530,0.084385678
4/2/20,8287,684,0.082538916,0,0,7077,0,0,7217,578,6108,0.08008868
4/3/20,9072,590,0.065035273,0,0,7667,0,0,7959,483,6591,0.060686016
4/4/20,5345,430,0.080449018,0,0,8097,0,0,4621,330,6921,0.071413114
4/5/20,7708,567,0.073559938,0,0,8664,0,0,6623,437,7358,0.065982183
4/6/20,6044,435,0.071972204,0,0,9099,0,0,5228,320,7678,0.061208875
4/7/20,5487,363,0.06615637,0,0,9462,0,0,4787,279,7957,0.058282849
4/8/20,4641,338,0.072829132,0,0,9800,0,0,3974,246,8203,0.061902365
4/9/20,4791,330,0.068879148,0,0,10130,0,0,4095,261,8464,0.063736264
4/10/20,6098,380,0.062315513,0,0,10510,0,0,5434,301,8765,0.055391976
4/11/20,5329,347,0.065115406,0,0,10857,0,0,4617,274,9039,0.059345896
4/12/20,8003,501,0.062601524,0,0,11358,0,0,7066,381,9420,0.053920181
4/13/20,8160,409,0.050122549,0,0,11767,0,0,7074,274,9694,0.03873339
4/14/20,10572,394,0.037268256,0,0,12161,0,0,9663,293,9987,0.030321846
4/15/20,7647,293,0.038315679,0,0,12454,0,0,6832,178,10165,0.026053864
4/16/20,9904,276,0.027867528,0,0,12730,0,0,8879,202,10367,0.02275031
4/17/20,9341,292,0.031260036,0,0,13022,0,0,8242,192,10559,0.023295317
4/18/20,8368,294,0.035133843,0,0,13316,0,0,7298,194,10753,0.026582625
4/19/20,8754,267,0.030500343,0,0,13583,0,0,7545,177,10930,0.023459245
4/20/20,12153,277,0.022792726,0,0,13860,0,0,10543,174,11104,0.016503841
4/21/20,10858,281,0.025879536,0,0,14141,0,0,9501,172,11276,0.018103358
4/22/20,11112,222,0.019978402,0,0,14363,0,0,9651,134,11410,0.013884572
4/23/20,11097,266,0.023970442,0,0,14629,0,0,9310,156,11566,0.016756176
4/24/20,9712,241,0.024814662,0,0,14870,0,0,8400,142,11708,0.016904762
4/25/20,6732,154,0.022875817,0,0,15024,0,0,5681,87,11795,0.015314205
4/26/20,6206,86,0.013857557,0,0,15110,0,0,5415,56,11851,0.010341644
4/27/20,8515,115,0.013505578,0,0,15225,0,0,7334,75,11926,0.010226343
4/28/20,8355,158,0.018910832,0,0,15383,0,0,7036,88,12014,0.012507106
4/29/20,7137,72,0.010088272,0,0,15455,0,0,6137,47,12061,0.007658465
4/30/20,7121,129,0.018115433,0,0,15584,0,0,6232,68,12129,0.010911425
5/1/20,8982,115,0.012803385,0,0,15699,0,0,7943,70,12199,0.008812791
5/2/20,4932,56,0.01135442,0,0,15755,0,0,4323,28,12227,0.006476984
5/3/20,6450,27,0.004186047,0,0,15782,0,0,5937,22,12249,0.003705575
5/4/20,7638,50,0.006546216,0,0,15832,0,0,6705,24,12273,0.003579418
5/5/20,7648,35,0.00457636,0,0,15867,0,0,6738,26,12299,0.003858712
5/6/20,7643,66,0.008635353,0,0,15933,0,0,6709,38,12337,0.005664033
5/7/20,7836,52,0.006636039,0,0,15985,0,0,6954,38,12375,0.005464481
5/8/20,6546,34,0.005194012,0,0,16019,0,0,5847,26,12401,0.004446725
5/9/20,3650,19,0.005205479,0,0,16038,0,0,3348,17,12418,0.005077658
5/10/20,4470,26,0.005816555,0,0,16064,0,0,4034,21,12439,0.005205751
5/11/20,8249,39,0.004727846,0,0,16103,0,0,7367,24,12463,0.003257771
5/12/20,6962,18,0.002585464,0,0,16121,0,0,6174,11,12474,0.001781665
5/13/20,6318,35,0.005539728,0,0,16156,0,0,5638,22,12496,0.003902093
5/14/20,5938,22,0.003704951,0,0,16178,0,0,5275,17,12513,0.003222749
5/15/20,4666,12,0.002571796,0,0,16190,0,0,4228,11,12524,0.002601703
5/16/20,2231,5,0.002241147,0,0,16195,0,0,2076,4,12528,0.001926782
5/17/20,4333,15,0.003461805,0,0,16210,0,0,3932,7,12535,0.001780264
5/18/20,5665,26,0.004589585,0,0,16236,0,0,4842,14,12549,0.002891367
5/19/20,5678,22,0.003874604,0,0,16258,0,0,4900,13,12562,0.002653061
5/20/20,5537,14,0.002528445,0,0,16272,0,0,4759,11,12573,0.00231141
5/21/20,4836,15,0.003101737,0,0,16287,0,0,4018,13,12586,0.003235441
5/22/20,4084,20,0.00489716,0,0,16307,0,0,3562,15,12601,0.004211117
5/23/20,1166,4,0.003430532,0,0,16311,0,0,1080,2,12603,0.001851852
5/24/20,4166,12,0.002880461,0,0,16323,0,0,3732,10,12613,0.002679528
5/25/20,5434,19,0.003496503,0,0,16342,0,0,4614,13,12626,0.002817512
5/26/20,5739,43,0.007492595,0,0,16385,0,0,5020,35,12661,0.006972112
