time,daily_test,daily_positive,daily_pct_positive,children_daily_test,children_daily_positive,children_daily_pct_positive,daily_vaccinated_dose1,daily_vaccinated_dose2,daily_moderate,daily_severe,daily_critical,daily_total_hospital,daily_fatality,cumulative_positive,cumulative_dose1,cumulative_dose2,children_cumulative_positive,cumulative_total_hospitalization,cumulative_fatality
2020-03-01,150,1,0.006666666666666667,122,1,0.00819672131147541,0,0,0,0,0,0,0,1,0,0,1,0,0
2020-03-02,152,5,0.03289473684210526,131,4,0.030534351145038167,0,0,0,0,0,0,0,6,0,0,5,0,0
2020-03-03,199,3,0.01507537688442211,164,2,0.012195121951219513,0,0,0,0,0,0,0,9,0,0,7,0,0
2020-03-04,117,0,0.0,92,0,0.0,0,0,0,0,0,0,0,9,0,0,7,0,0
2020-03-05,135,2,0.014814814814814815,110,2,0.01818181818181818,0,0,0,0,0,0,0,11,0,0,9,0,0
2020-03-06,250,4,0.016,213,4,0.018779342723004695,0,0,0,1,0,1,0,15,0,0,13,1,0
2020-03-07,306,4,0.013071895424836602,274,4,0.014598540145985401,0,0,0,0,0,0,0,19,0,0,17,1,0
2020-03-08,379,10,0.026385224274406333,333,10,0.03003003003003003,0,0,0,0,0,0,0,29,0,0,27,1,0
2020-03-09,475,4,0.008421052631578947,401,4,0.00997506234413965,0,0,0,1,0,1,0,33,0,0,31,2,0
2020-03-10,445,32,0.07191011235955057,394,30,0.07614213197969544,0,0,0,0,0,0,0,65,0,0,61,2,0
2020-03-11,336,20,0.05952380952380952,300,18,0.06,0,0,1,0,0,1,0,85,0,0,79,3,0
2020-03-12,559,20,0.03577817531305903,502,14,0.027888446215139442,0,0,0,0,0,0,0,105,0,0,93,3,0
2020-03-13,634,36,0.056782334384858045,559,35,0.0626118067978533,0,0,1,0,0,1,0,141,0,0,128,4,0
2020-03-14,576,31,0.05381944444444445,497,23,0.04627766599597585,0,0,0,0,0,0,0,172,0,0,151,4,0
2020-03-15,1021,40,0.039177277179236046,839,37,0.04410011918951132,0,0,2,0,0,2,0,212,0,0,188,6,0
2020-03-16,1061,71,0.06691800188501414,885,64,0.07231638418079096,0,0,0,1,0,1,0,283,0,0,252,7,0
2020-03-17,1366,93,0.06808199121522694,1113,86,0.07726864330637916,0,0,1,0,0,1,0,376,0,0,338,8,0
2020-03-18,1761,124,0.0704145371947757,1414,107,0.07567185289957568,0,0,5,2,0,7,0,500,0,0,445,15,0
2020-03-19,1749,135,0.07718696397941681,1470,121,0.08231292517006802,0,0,1,2,0,3,0,635,0,0,566,18,0
2020-03-20,1957,167,0.08533469596320899,1579,150,0.09499683343888538,0,0,3,2,0,5,1,802,0,0,716,23,1
2020-03-21,1776,217,0.12218468468468469,1448,208,0.143646408839779,0,0,3,1,0,4,0,1019,0,0,924,27,1
2020-03-22,2804,256,0.0912981455064194,2356,235,0.0997453310696095,0,0,7,3,0,10,0,1275,0,0,1159,37,1
2020-03-23,3016,343,0.11372679045092839,2529,304,0.12020561486753657,0,0,4,2,0,6,0,1618,0,0,1463,43,1
2020-03-24,4011,417,0.10396409872849663,3371,360,0.10679323642835954,0,0,7,4,0,11,3,2035,0,0,1823,54,4
2020-03-25,5144,415,0.0806765163297045,4410,372,0.08435374149659863,0,0,4,4,0,8,1,2450,0,0,2195,62,5
2020-03-26,5527,515,0.09317893975031663,4741,452,0.095338536173803,0,0,9,4,0,13,5,2965,0,0,2647,75,10
2020-03-27,4970,439,0.08832997987927566,4255,380,0.08930669800235018,0,0,4,5,0,9,2,3404,0,0,3027,84,12
2020-03-28,4739,476,0.10044313146233383,4077,396,0.09713024282560706,0,0,8,3,0,11,1,3880,0,0,3423,95,13
2020-03-29,6414,545,0.084970377299657,5676,476,0.08386187455954898,0,0,9,8,0,17,3,4425,0,0,3899,112,16
2020-03-30,6113,556,0.09095370521838704,5298,471,0.08890147225368063,0,0,19,3,0,22,1,4981,0,0,4370,134,17
2020-03-31,6691,728,0.10880286952622926,5827,592,0.10159601853440879,0,0,22,9,0,31,4,5709,0,0,4962,165,21
2020-04-01,7576,684,0.09028511087645195,6731,568,0.08438567820531867,0,0,27,9,0,36,8,6393,0,0,5530,201,29
2020-04-02,8287,684,0.08253891637504525,7217,578,0.08008867950672025,0,0,18,6,0,24,9,7077,0,0,6108,225,38
2020-04-03,9072,590,0.0650352733686067,7959,483,0.06068601583113457,0,0,27,8,1,36,5,7667,0,0,6591,261,43
2020-04-04,5345,430,0.08044901777362021,4621,330,0.07141311404457909,0,0,14,9,0,23,6,8097,0,0,6921,284,49
2020-04-05,7708,567,0.07355993772703684,6623,437,0.06598218330061906,0,0,19,2,0,21,7,8664,0,0,7358,305,56
2020-04-06,6044,435,0.07197220383851753,5228,320,0.061208875286916604,0,0,42,14,0,56,8,9099,0,0,7678,361,64
2020-04-07,5487,363,0.0661563696008748,4787,279,0.05828284938374765,0,0,23,8,1,32,8,9462,0,0,7957,393,72
2020-04-08,4641,338,0.07282913165266107,3974,246,0.06190236537493709,0,0,16,15,0,31,8,9800,0,0,8203,424,80
2020-04-09,4791,330,0.06887914840325611,4095,261,0.06373626373626373,0,0,12,6,0,18,9,10130,0,0,8464,442,89
2020-04-10,6098,380,0.06231551328304362,5434,301,0.055391976444608026,0,0,8,4,0,12,8,10510,0,0,8765,454,97
2020-04-11,5329,347,0.06511540626759242,4617,274,0.059345895603205544,0,0,17,16,0,33,6,10857,0,0,9039,487,103
2020-04-12,8003,501,0.06260152442833937,7066,381,0.05392018114916502,0,0,20,10,0,30,6,11358,0,0,9420,517,109
2020-04-13,8160,409,0.050122549019607845,7074,274,0.038733389878428046,0,0,19,17,0,36,9,11767,0,0,9694,553,118
2020-04-14,10572,394,0.03726825576995838,9663,293,0.030321846217530788,0,0,5,1,0,6,8,12161,0,0,9987,559,126
2020-04-15,7647,293,0.038315679351379625,6832,178,0.026053864168618268,0,0,16,4,0,20,13,12454,0,0,10165,579,139
2020-04-16,9904,276,0.027867528271405494,8879,202,0.022750309719563013,0,0,9,6,0,15,7,12730,0,0,10367,594,146
2020-04-17,9341,292,0.03126003639867252,8242,192,0.023295316670710994,0,0,3,5,0,8,9,13022,0,0,10559,602,155
2020-04-18,8368,294,0.035133843212237094,7298,194,0.026582625376815567,0,0,11,10,0,21,11,13316,0,0,10753,623,166
2020-04-19,8754,267,0.03050034270047978,7545,177,0.02345924453280318,0,0,8,4,0,12,8,13583,0,0,10930,635,174
2020-04-20,12153,277,0.022792726075866042,10543,174,0.01650384141136299,0,0,12,3,1,16,6,13860,0,0,11104,651,180
2020-04-21,10858,281,0.02587953582611899,9501,172,0.01810335754131144,0,0,11,6,0,17,10,14141,0,0,11276,668,190
2020-04-22,11112,222,0.01997840172786177,9651,134,0.01388457154698995,0,0,7,8,0,15,3,14363,0,0,11410,683,193
2020-04-23,11097,266,0.023970442461926648,9310,156,0.016756176154672394,0,0,4,1,0,5,4,14629,0,0,11566,688,197
2020-04-24,9712,241,0.02481466227347611,8400,142,0.016904761904761905,0,0,2,3,0,5,3,14870,0,0,11708,693,200
2020-04-25,6732,154,0.02287581699346405,5681,87,0.01531420524555536,0,0,3,1,0,4,3,15024,0,0,11795,697,203
2020-04-26,6206,86,0.013857557202707057,5415,56,0.010341643582640813,0,0,4,4,0,8,2,15110,0,0,11851,705,205
2020-04-27,8515,115,0.013505578391074574,7334,75,0.010226343059721843,0,0,6,0,0,6,4,15225,0,0,11926,711,209
2020-04-28,8355,158,0.01891083183722322,7036,88,0.012507106310403639,0,0,3,2,0,5,5,15383,0,0,12014,716,214
2020-04-29,7137,72,0.01008827238335435,6137,47,0.007658465048069089,0,0,3,3,0,6,6,15455,0,0,12061,722,220
2020-04-30,7121,129,0.018115433225670552,6232,68,0.010911424903722721,0,0,11,1,0,12,6,15584,0,0,12129,734,226
2020-05-01,8982,115,0.012803384546871521,7943,70,0.008812791136850056,0,0,3,2,0,5,4,15699,0,0,12199,739,230
2020-05-02,4932,56,0.0113544201135442,4323,28,0.006476983576220218,0,0,2,2,0,4,3,15755,0,0,12227,743,233
2020-05-03,6450,27,0.004186046511627907,5937,22,0.003705575206333165,0,0,6,0,0,6,3,15782,0,0,12249,749,236
2020-05-04,7638,50,0.006546216286986122,6705,24,0.0035794183445190158,0,0,4,1,0,5,3,15832,0,0,12273,754,239
2020-05-05,7648,35,0.004576359832635983,6738,26,0.00385871178391214,0,0,0,0,0,0,2,15867,0,0,12299,754,241
2020-05-06,7643,66,0.008635352610231585,6709,38,0.005664033387986287,0,0,1,1,0,2,1,15933,0,0,12337,756,242
2020-05-07,7836,52,0.006636038795303726,6954,38,0.00546448087431694,0,0,3,0,0,3,1,15985,0,0,12375,759,243
2020-05-08,6546,34,0.005194011610143599,5847,26,0.004446724816145032,0,0,0,0,0,0,6,16019,0,0,12401,759,249
2020-05-09,3650,19,0.0052054794520547945,3348,17,0.005077658303464755,0,0,1,0,0,1,3,16038,0,0,12418,760,252
2020-05-10,4470,26,0.0058165548098434005,4034,21,0.005205751115518097,0,0,3,2,0,5,4,16064,0,0,12439,765,256
2020-05-11,8249,39,0.004727845799490847,7367,24,0.003257771141577304,0,0,1,1,0,2,5,16103,0,0,12463,767,261
2020-05-12,6962,18,0.002585463947141626,6174,11,0.0017816650469711693,0,0,0,2,0,2,3,16121,0,0,12474,769,264
2020-05-13,6318,35,0.005539727761949984,5638,22,0.0039020929407591345,0,0,0,0,0,0,3,16156,0,0,12496,769,267
2020-05-14,5938,22,0.00370495116200741,5275,17,0.0032227488151658767,0,0,2,1,0,3,2,16178,0,0,12513,772,269
2020-05-15,4666,12,0.002571795970852979,4228,11,0.002601702932828761,0,0,0,0,0,0,0,16190,0,0,12524,772,269
2020-05-16,2231,5,0.0022411474675033617,2076,4,0.0019267822736030828,0,0,0,0,0,0,3,16195,0,0,12528,772,272
2020-05-17,4333,15,0.0034618047542118624,3932,7,0.001780264496439471,0,0,2,2,0,4,4,16210,0,0,12535,776,276
2020-05-18,5665,26,0.004589585172109444,4842,14,0.0028913672036348617,0,0,1,0,0,1,3,16236,0,0,12549,777,279
2020-05-19,5678,22,0.0038746037337090526,4900,13,0.002653061224489796,0,0,1,0,0,1,2,16258,0,0,12562,778,281
2020-05-20,5537,14,0.0025284450063211127,4759,11,0.002311409960075646,0,0,2,0,0,2,1,16272,0,0,12573,780,282
2020-05-21,4836,15,0.003101736972704715,4018,13,0.003235440517670483,0,0,0,0,0,0,0,16287,0,0,12586,780,282
2020-05-22,4084,20,0.004897159647404506,3562,15,0.004211117349803481,0,0,1,0,0,1,0,16307,0,0,12601,781,282
2020-05-23,1166,4,0.003430531732418525,1080,2,0.001851851851851852,0,0,1,0,0,1,0,16311,0,0,12603,782,282
2020-05-24,4166,12,0.0028804608737397984,3732,10,0.0026795284030010718,0,0,1,0,0,1,1,16323,0,0,12613,783,283
