,a,b,g,d,l,k,r_V1,r_V2,r_I,distances
0,0.92,0.1025764197180396,0.12693758885490453,0.7840834254451508,0.004547578816725711,0.047619047619047616,0.0028441472281396595,0.0006458903565083702,0.06923699577047192,0.09445178669159773
1,0.92,0.7731135276929361,0.12214669219998914,0.6374590007372068,0.03225990812315399,0.047619047619047616,0.11785717516850272,0.08089700691511802,0.049528977436165196,0.04689813669368009
2,0.92,0.2127615424369319,0.08013025729154331,0.6804936775671074,0.2460849671070509,0.047619047619047616,0.09985410867803762,0.0785653225807633,0.0982797280710989,0.05530718906069579
3,0.92,0.19766483174776733,0.227268971707124,0.018620370711768364,0.17814897461601434,0.047619047619047616,0.13180826674237,0.029084936511263402,0.04768218088742621,0.05302666561894968
4,0.92,0.3173079417200756,0.052093352932812836,0.13866264960622232,0.13313590959537946,0.047619047619047616,0.048318356737631095,0.02417852276950763,0.03725432028526252,0.06363228771929151
5,0.92,0.09864598572149942,0.13419866398018915,0.41969059592080393,0.026488729268865502,0.047619047619047616,0.29841289527942577,0.11916090691082397,0.14702104043199765,0.09327297748686776
6,0.92,0.1593538646937789,0.08225436910805534,0.41479172353044025,0.02565134039203107,0.047619047619047616,0.2175060323664361,0.19935524343227243,0.10183702941799154,0.04975319998908206
7,0.92,0.30635707360114034,0.1810958003346021,0.42841179605574864,0.07721527782000065,0.047619047619047616,0.2520129566537286,0.042597437293110454,0.07677942728046276,0.08535537171372228
8,0.92,0.40791444122445386,0.22919375853883545,0.44156431509647776,0.1594829212492588,0.047619047619047616,0.2619193674216929,0.17692166207767962,0.11170115557881348,0.09345448264443322
9,0.92,0.19274802223081006,0.11465156147047594,0.932019198183165,0.23381593928628383,0.047619047619047616,0.29281835560508634,0.2856417198029567,0.14396857067420193,0.05583231195065237
10,0.92,0.9702614468666196,0.2435123259719435,0.933622295066155,0.034261327418842386,0.047619047619047616,0.1698311900987331,0.022100367485333037,0.03664374506015799,0.08728924885228197
11,0.92,0.1066862137775064,0.08394917120796892,0.40431524018219256,0.16222133739390193,0.047619047619047616,0.2024792711096101,0.05362571061643234,0.09050738131300354,0.07604397877663359
12,0.92,0.17839969139461703,0.09763870638342212,0.7683931151885207,0.2086481345174378,0.047619047619047616,0.19819269924498328,0.13707900879683244,0.10726341339178422,0.05534696654806994
13,0.92,0.31347666695195003,0.1401175875777087,0.3882022458742429,0.0475955144780211,0.047619047619047616,0.03440773142413784,0.011542579553425707,0.07679961034394979,0.07676134519484373
14,0.92,0.4590922370728709,0.06022513207065301,0.8898108163932319,0.0009077876198954615,0.047619047619047616,0.13110202443073368,0.11294226930670169,0.05308331075536955,0.0719069198708103
15,0.92,0.21579524254604654,0.22308261857976092,0.42447326212223435,0.17697775377056416,0.047619047619047616,0.02639012197474636,0.007087403483453974,0.07268967341289426,0.08654746526538762
16,0.92,0.11676614091794568,0.24001664340160594,0.5615389216377047,0.09575374953912763,0.047619047619047616,0.17037250641549903,0.09633925873603674,0.13215884054582638,0.07897500438503059
17,0.92,0.2499950893541354,0.19720457110237039,0.8817490746647911,0.08114355315615804,0.047619047619047616,0.09630718918421828,0.03884776712600547,0.09783529456230251,0.048114867842271605
18,0.92,0.9339245793710561,0.05395463413069906,0.9859481583385169,0.2436349484914251,0.047619047619047616,0.027278539138565937,0.007715127249425638,0.09106346800111179,0.09281818098809057
19,0.92,0.12245006621909879,0.05658312501347629,0.25102856258701,0.16893965035662142,0.047619047619047616,0.10829333586273694,0.012364013218239798,0.09403079827444884,0.06107499659671747
20,0.92,0.13750608160973354,0.21332874543001795,0.6759502984568218,0.15203896711859105,0.047619047619047616,0.19404376348979005,0.18533721200143197,0.11020100639322201,0.057619102121845636
21,0.92,0.09394417073652739,0.2107223496840172,0.8549198214609766,0.06241795460530408,0.047619047619047616,0.06240090902605472,0.042830307799423734,0.1069738444391497,0.05004538430575747
22,0.92,0.42340382840247265,0.1690607053171302,0.9731411868041807,0.1327257314239774,0.047619047619047616,0.22114083000547166,0.15496337334073862,0.09492110594173622,0.058785119565429936
23,0.92,0.1276796526148964,0.2374287201711317,0.12215125831558016,0.11480415293542945,0.047619047619047616,0.19270136700585042,0.11989899454024651,0.09938325882291149,0.0563088770510761
24,0.92,0.19031012779641515,0.18122521285856108,0.4070562213540171,0.07238971494137933,0.047619047619047616,0.21042164178554815,0.004685258279433911,0.09261068208059861,0.06114147452875096
25,0.92,0.35748843588441864,0.18914974446488098,0.8045242430002183,0.21837562850103812,0.047619047619047616,0.05916606929532509,0.036929276586985534,0.07533254987311862,0.09097925936524122
26,0.92,0.6500098843652725,0.13938868400337134,0.9949417758180554,0.011935475588800537,0.047619047619047616,0.1032320807313651,0.027008806246073304,0.062358902087273085,0.04124267430844768
27,0.92,0.4876608945743653,0.14444456913519013,0.685496767423154,0.00593066793282937,0.047619047619047616,0.044209506583979284,0.03976163404801662,0.08274221212383968,0.0549872991911275
28,0.92,0.23050813373028395,0.2106799579014918,0.17883681794306638,0.06711025176385751,0.047619047619047616,0.14305306796514772,0.11874218489637502,0.08114082604144478,0.0714784983450202
29,0.92,0.17650779233399916,0.20627231235966192,0.8457252558457199,0.11881183806530385,0.047619047619047616,0.16221037537358038,0.07339546985272984,0.0985989515142204,0.056044782450648034
30,0.92,0.19071420090698854,0.06068539266036432,0.7329542801494272,0.01074318954881448,0.047619047619047616,0.11428607686419232,0.08721963191259724,0.07382367895659427,0.0938201206248728
31,0.92,0.3967713483356315,0.20167448198723914,0.6357750864232116,0.24451152757080863,0.047619047619047616,0.2697325504398483,0.029205015237403,0.09081419484059768,0.0792362865527452
32,0.92,0.07471271636011786,0.06602823741383151,0.24992246017245356,0.10371960045968517,0.047619047619047616,0.06218801354263787,0.002236014493747066,0.09993038180776267,0.06156237941590983
33,0.92,0.12015735413565623,0.20130241989760544,0.8463753597557797,0.2328947380962788,0.047619047619047616,0.12018935333248741,0.010128403590038929,0.12195485343976548,0.08156113470332788
34,0.92,0.8001430985551452,0.1479817820433286,0.9679996334681285,0.21187562754359415,0.047619047619047616,0.17752564888352818,0.1494395918620717,0.08805495359470997,0.08085069714981591
35,0.92,0.15678380856242824,0.16945212436239931,0.8925183807916894,0.14217458764278126,0.047619047619047616,0.1289814153227095,0.03945490011472406,0.12835372157207564,0.09329564965109935
36,0.92,0.37909783626431237,0.23446390017672014,0.9836643492091653,0.04096605221020047,0.047619047619047616,0.010986076559285306,0.007619219551454988,0.1106935589689554,0.09201953582172896
