,Date,True_Daily_Cases,True_Cumulative_Cases,True_Daily_Pct_Positive,True_Daily_Cases_Chld,True_Cumulative_Cases_Chld,True_Daily_Pct_Positive_Chld,Mean_Daily_Cases,Median_Daily_Cases,High_Daily_Cases,Low_Daily_Cases,Mean_Cumulative_Cases,High_Cumulative_Cases,Low_Cumulative_Cases,Mean_Prob,High_Prob,Low_Prob,Mean_Daily_Cases_NoVac,Median_Daily_Cases_NoVac,High_Daily_Cases_NoVac,Low_Daily_Cases_NoVac,Mean_Cumulative_Cases_NoVac,High_Cumulative_Cases_NoVac,Low_Cumulative_Cases_NoVac,Mean_Prob_NoVac,High_Prob_NoVac,Low_Prob_NoVac,Mean_Daily_Cases_OnlyOneDose,Median_Daily_Cases_OnlyOneDose,High_Daily_Cases_OnlyOneDose,Low_Daily_Cases_OnlyOneDose,Mean_Cumulative_Cases_OnlyOneDose,Median_Cumulative_Cases_OnlyOneDose,High_Cumulative_Cases_OnlyOneDose,Low_Cumulative_Cases_OnlyOneDose,Mean_Prob_OnlyOneDose,Median_Prob_OnlyOneDose,High_Prob_OnlyOneDose,Low_Prob_OnlyOneDose,Mean_Daily_Children,Median_Daily_Children,High_Daily_Children,Low_Daily_Children,Mean_Cumulative_Cases_Children,Median_Cumulative_Cases_Children,High_Cumulative_Cases_Children,Low_Cumulative_Cases_Children,Mean_Daily_Children_NoVac,Median_Daily_Children_NoVac,High_Daily_Children_NoVac,Low_Daily_Children_NoVac,Mean_Cumulative_Cases_Children_NoVac,Median_Cumulative_Cases_Children_NoVac,High_Cumulative_Cases_Children_NoVac,Low_Cumulative_Cases_Children_NoVac,Diff_NoVac_Mean,Diff_NoVac_Low,Diff_NoVac_High,Diff_OneDose_Mean,Diff_OneDose_Low,Diff_OneDose_High,Diff_NoVac_Chld_Mean,Diff_NoVac_Chld_Low,Diff_NoVac_Chld_High
0,2021-01-28,7120,629868,0.093833604,2890,300953,0.12555391400000002,6576.217893075557,6575.5,8118.15,4881.85,629324.2178930755,630866.15,627629.8500000001,0.0866781420069238,0.10689470706666125,0.06434170913487912,9710.460840402446,9627.0,12781.449999999999,6889.549999999999,632458.4608404024,635529.45,629637.55,0.1279968056153476,0.16822533274683119,0.09092276651134393,6718.506214243441,6717.5,8265.449999999999,5056.0,629466.5062142435,629465.5,631013.4500000001,627804.0,0.08854882178558045,0.08842049072713681,0.1087401475127669,0.06671544723193575,1994.8118958374432,1998.0,2468.0,1477.0,300057.8118958374,300061.0,300531.0,299540.0,2945.9445650029593,2923.0,3881.0,2087.0,301008.944565003,300986.0,301944.0,300150.0,2590.460840402404,-230.44999999995343,5661.449999999953,-401.4937857565237,-2064.0,1145.4500000000698,55.94456500298111,-803.0,991.0
1,2021-01-29,6712,636580,0.093657992,2760,303713,0.121318681,6687.783981061353,6649.0,8179.15,5376.0,636012.0018741369,638951.15,633122.25,0.09333493164500631,0.11406944804562749,0.07511060992264136,12711.073683172222,11969.0,20441.449999999997,7809.549999999999,645169.5345235746,655341.6,637723.7000000001,0.17734971619049283,0.2853676547353421,0.1088795179183949,7023.802031958966,6951.0,8718.0,5622.0,636490.3082462024,636438.0,639576.0,633670.7,0.09798611600880298,0.09700652151688882,0.12179803293680908,0.07860482096450955,2123.7938449398303,2111.0,2604.1499999999996,1703.0,302181.6057407773,302170.0,303102.14999999997,301284.0,4034.133951469718,3795.0,6524.0,2478.85,305043.07851647265,304828.0,308213.3,302718.7,8589.534523574635,1143.7000000000698,18761.599999999977,-89.69175379758235,-2909.3000000000466,2996.0,1330.0785164726549,-994.2999999999884,4500.299999999988
2,2021-01-30,2599,639179,0.099873189,1063,304776,0.134301958,2471.619254290787,2454.0,3005.1499999999996,2024.0,638483.6211284277,641852.45,635261.85,0.09500607181540036,0.11538000252817263,0.07803886237167515,6188.466660090748,5417.0,11839.449999999999,3140.85,651358.0011836655,666887.6,641000.3500000001,0.23780692717499338,0.4545850566936115,0.12031142162919553,2678.938252120734,2620.5,3459.1499999999996,2114.0,639169.2464983232,639081.0,642854.15,635947.0,0.10295314896333076,0.100642261551627,0.1325181250699814,0.08155004279897118,751.9989149733675,747.0,920.0,610.0,302933.6046557506,302919.0,303988.0,301931.85,1881.8027224304597,1651.0,3606.1499999999996,951.0,306924.88123890315,306513.0,311764.15,303704.7,12179.001183665474,1821.3500000000931,27708.599999999977,-9.753501676837914,-3232.0,3675.1500000000233,2148.881238903152,-1071.2999999999884,6988.150000000023
3,2021-01-31,5166,644345,0.09711439,2040,306816,0.127110723,5041.821562438351,5009.0,6107.15,4160.0,643525.4426908661,647659.15,639683.25,0.09478196341461521,0.11469034040876551,0.07844262252490991,16118.567863483922,13497.0,33608.75,6896.85,667476.5690471494,700023.15,648156.4,0.30299197267700145,0.6320628093154559,0.1295973845258714,5646.910337344644,5447.0,7674.5999999999985,4363.0,644816.1568356678,644604.5,649870.75,640607.55,0.1061787120436118,0.10247893558105531,0.1442769536407644,0.08219877474426812,1521.3713750246598,1511.0,1845.1499999999996,1250.85,304454.9760307753,304426.0,305744.3,303258.85000000003,4862.517557703689,4074.5,10135.899999999998,2078.85,311787.3987966068,310602.0,321740.5,305861.85,23131.569047149387,3811.4000000000233,55678.15000000002,471.156835667789,-3737.4499999999534,5525.75,4971.398796606809,-954.1500000000233,14924.5
4,2021-02-01,8827,653172,0.099682669,3681,310497,0.13530601,8316.852929571907,8267.0,9978.0,6914.0,651842.295620438,657251.45,646947.85,0.0939138213320598,0.11264223259481387,0.07814492507686513,32336.391793253108,26853.0,68185.69999999998,12128.7,699812.9608404024,768225.6,660756.4,0.3651774379207231,0.7699756557705658,0.13650376669937608,9614.523476030776,9156.0,13680.899999999998,7262.849999999999,654430.6803116986,653918.0,662659.75,648217.7999999999,0.10860735803705937,0.10348550132348763,0.15448364865957065,0.08203425679405188,2555.3024265141053,2541.0,3071.1499999999996,2120.0,307010.2784572894,306977.0,308694.15,305498.85000000003,9934.302031958967,8229.5,20943.35,3714.0,321721.7008285658,318797.0,342710.45,309739.7,46640.960840402404,7584.400000000023,115053.59999999998,1258.680311698583,-4954.20000000007,9487.75,11224.700828565808,-757.2999999999884,32213.45000000001
5,2021-02-02,7919,661091,0.093536652,3341,313838,0.129873664,7858.945354113237,7824.0,9329.15,6563.0,659701.2409745512,666233.6000000001,653732.85,0.09282578166054398,0.11016409277975976,0.07769979833731748,35557.20378772933,29941.0,73052.4,12131.55,735370.1646281318,841014.05,673169.7999999999,0.4199721516902889,0.8626138438456143,0.14312012256358145,9350.575162753996,8827.0,13803.15,6925.7,663781.2554744525,662872.0,676157.45,655357.7000000001,0.11045190691438551,0.10423988085089203,0.1630702028657643,0.08178965506142596,2387.87324916157,2377.0,2838.0,1986.85,309398.15170645097,309362.5,311429.15,307556.0,10804.029492996646,9089.5,22185.049999999996,3679.85,332525.73032156244,327833.0,364837.9,313463.55,74279.16462813178,12078.79999999993,179923.05000000005,2690.2554744525114,-5733.29999999993,15066.449999999953,18687.73032156244,-374.45000000001164,50999.90000000002
6,2021-02-03,7341,668432,0.08942297199999999,3164,317002,0.126015613,7520.720161767607,7510.0,8840.449999999999,6319.85,667221.9611363187,674778.5,660244.0,0.09163724244677973,0.10765309086313736,0.07702285570962576,38292.65338331032,33262.0,75253.54999999999,12187.85,773662.8180114421,916029.25,685781.6,0.4664532547952668,0.9167206109936505,0.14836793677062154,9172.30104557112,8588.0,13816.3,6686.0,672953.5565200236,671541.5,689722.3999999999,662164.05,0.11172921542688609,0.10461378461508883,0.16828145209387432,0.08143777738284122,2300.425823633853,2295.0,2707.0,1922.0,311698.5775300848,311674.5,314039.3,309544.85,11711.161471690668,10200.0,23015.6,3726.0,344236.89179325313,338021.0,387790.19999999995,317387.0,105230.81801144208,17349.599999999977,247597.25,4521.556520023616,-6267.949999999953,21290.399999999907,27234.891793253133,385.0,70788.19999999995
7,2021-02-04,7159,675591,0.088876474,3187,320189,0.120464167,7278.734760307753,7279.0,8479.15,6134.0,674500.6958966266,682923.75,666566.8500000001,0.09038289536432403,0.10514634550463278,0.07625618412090754,40706.742947326886,36830.0,76415.6,12377.7,814369.5609587689,992304.1499999999,698186.8,0.5053782424510578,0.9485931131413378,0.15391558454046073,9059.065792069441,8441.5,13806.3,6499.0,682012.6223120932,680036.5,703120.95,668804.2000000001,0.11245673747413173,0.1048237938230597,0.17112363865774763,0.0809919915899656,2390.404714933912,2389.5,2791.0,2007.0,314088.98224501876,314066.5,316711.3,311624.85,13371.846518050897,12094.0,25108.3,4073.85,357608.738311304,350039.5,412736.15,321417.0,138778.56095876894,22595.800000000047,316713.1499999999,6421.622312093154,-6786.79999999993,27529.949999999953,37419.73831130401,1228.0,92547.15000000002
8,2021-02-05,6520,682111,0.080760036,2744,322933,0.10109048,7190.793549023476,7205.5,8316.15,6078.849999999999,681691.48944565,691023.3,672866.7000000001,0.0890846438738377,0.10280680732396147,0.07534857689612649,43430.69491023871,40860.5,78096.15,12797.349999999999,857800.2558690077,1070121.0,711085.75,0.5379619062522969,0.9674257096291936,0.15854882469893003,9098.348194910239,8467.5,13915.3,6494.699999999999,691110.9705070034,688616.0,716564.3,675414.85,0.11268881457921306,0.10488079118643878,0.17221413540546956,0.08048896234433622,2417.791280331426,2421.0,2798.1499999999996,2036.0,316506.77352535015,316502.0,319413.15,313729.0,14604.050305780233,13736.0,26252.3,4296.85,372212.7886170842,363528.5,438915.39999999997,325774.9,175689.25586900767,28974.75,388010.0,8999.970507003367,-6696.150000000023,34453.30000000005,49279.78861708421,2841.9000000000233,115982.39999999997
9,2021-02-06,2628,684739,0.094641314,1057,323990,0.112506652,2437.0180508976127,2438.0,2815.0,2058.0,684128.5074965477,693740.15,675019.4,0.08776642387447837,0.10094794675381615,0.07434353675440859,15699.27273623989,15316.5,27163.15,4516.0,873499.5286052476,1097111.25,715644.5,0.5653713008715572,0.9782085791732379,0.1624367613700176,3123.9019530479386,2904.0,4765.15,2219.85,694234.8724600513,691570.0,721365.55,677726.75,0.11250335243847404,0.1045261517397003,0.1715577032589929,0.0800128794591982,824.7132570526732,826.0,959.0,690.0,317331.48678240285,317327.0,320333.75,314449.0,5311.579305582955,5172.0,9191.15,1525.0,377524.3679226672,368731.0,448079.9,327294.7,188760.52860524761,30905.5,412372.25,9495.872460051323,-7012.25,36626.55000000005,53534.36792266718,3304.7000000000116,124089.90000000002
