,a,b,g,d,l,k,r_V1,r_V2,r_I,distances
0,0.92,0.17179724741823657,0.17743618367553443,0.4550062054998989,0.1993655059710709,0.047619047619047616,0.27225123652401356,0.07457671739022056,0.08121221482189211,0.015061467590551303
1,0.92,0.42277544458456556,0.16163994423935027,0.68367531408349,0.10045262512392317,0.047619047619047616,0.42635407314421647,0.29651462654115834,0.07941551155633216,0.04226522533529111
2,0.92,0.095650250980167,0.15270841613564767,0.8564311507971568,0.1296791290239092,0.047619047619047616,0.29241240493982995,0.2324958432250096,0.10390125851499622,0.01770854635198684
3,0.92,0.09520494812639387,0.12487510666203512,0.5797025389339205,0.15323071183831138,0.047619047619047616,0.038175518212556776,0.02268817889121182,0.08355588944428231,0.039875581877175895
4,0.92,0.9174850664091249,0.087875667491612,0.8494424948198179,0.24503617508931513,0.047619047619047616,0.47013173750291803,0.22575773254642392,0.03752781531701137,0.053049639517037644
5,0.92,0.15492567724367168,0.20174276371889238,0.8054859422347531,0.1850449178850604,0.047619047619047616,0.3356303458428039,0.15999832882422632,0.12096137808905254,0.05726914291411464
6,0.92,0.538166984751873,0.14025861669317755,0.7449836304247152,0.15120494553694305,0.047619047619047616,0.2590157518982023,0.1680077372300069,0.06745494456027729,0.021317663164652192
7,0.92,0.22408476935990346,0.2186225036642846,0.12983335394547102,0.01929330710608479,0.047619047619047616,0.37082681227763564,0.20878905295619968,0.05006955907029073,0.05527084852634545
8,0.92,0.3076820115436332,0.1335274113294994,0.9548848695754879,0.1024543695590536,0.047619047619047616,0.030060268568790315,0.02484900217644587,0.08156959856085608,0.039908864503265244
9,0.92,0.4651622608794043,0.12823771463269365,0.9055464499425585,0.049865468356316334,0.047619047619047616,0.37102281480617955,0.11199291389577423,0.04762604588234931,0.05715612986146683
10,0.92,0.14365607152216164,0.21299195581414226,0.793610839459644,0.1406877741646974,0.047619047619047616,0.00972273408173938,0.0006284048264692012,0.07270592333266883,0.019128015799218696
11,0.92,0.20788681603680648,0.05222244008766044,0.43728556924502837,0.23788835204705136,0.047619047619047616,0.35633093617640654,0.1053943519531681,0.09402340654258345,0.03431833611933325
12,0.92,0.24264429338077315,0.22501971136872523,0.5084288460612756,0.017814013886583685,0.047619047619047616,0.46887622703484294,0.2753002196840363,0.09069200736851248,0.024253983337069907
13,0.92,0.3808809160127312,0.07461894079944825,0.4792902696443412,0.15187987207017498,0.047619047619047616,0.1829623550554744,0.14378404668429628,0.05494950727029445,0.03955917035352729
14,0.92,0.47575587851327267,0.23073486307297703,0.2772237314654993,0.21062876146209603,0.047619047619047616,0.47113784213760523,0.24095518608145303,0.04502565198049671,0.052876065090492835
15,0.92,0.36122003857909785,0.07129399165881217,0.3060697615339648,0.220991425719535,0.047619047619047616,0.3293444513345536,0.03062045920113639,0.04932735098862519,0.03491158106350003
16,0.92,0.39487398252137407,0.16940205199902772,0.27568301159514075,0.062061499060870856,0.047619047619047616,0.2873844148115039,0.033809451213401974,0.035065521894579586,0.0606789592082127
17,0.92,0.628492458679451,0.1642055687168788,0.9142445909139607,0.0374211960446999,0.047619047619047616,0.019829629383725216,0.0009300141685673918,0.057355163859367564,0.022096123827599477
18,0.92,0.06226002719545995,0.09342131215742283,0.06948108476745951,0.003201017194708944,0.047619047619047616,0.2276647640488718,0.22069008786742908,0.0926274316779213,0.05220606997005027
19,0.92,0.3415882718891576,0.23060237950507867,0.7485891797061937,0.1309775233393739,0.047619047619047616,0.23740043377375677,0.22831561519494067,0.08153556048421853,0.016193859392318145
20,0.92,0.787499986062227,0.11764248631022552,0.5878097967133719,0.1676922579094685,0.047619047619047616,0.234422620998426,0.21065161097717422,0.03810265187402431,0.03668300634792089
21,0.92,0.2339402076329613,0.1439065105097373,0.766646442923083,0.045154900637665085,0.047619047619047616,0.3243713157947451,0.27034243589854906,0.10681703457075338,0.051983173616600375
22,0.92,0.2668407888186478,0.14124510285911185,0.9036680289324586,0.12289477895764223,0.047619047619047616,0.40156066699467957,0.35028838820404545,0.0927645879175711,0.022271392535314835
23,0.92,0.3122958773029419,0.1054245421814263,0.45804343578845097,0.0941048043216719,0.047619047619047616,0.02147237740404938,0.02103088617177923,0.04858574350359028,0.05202452109674631
24,0.92,0.13561841597270402,0.08920052766455178,0.6402430755349123,0.19723325516442639,0.047619047619047616,0.13855955229259534,0.12192751254747175,0.0800795541113865,0.01591399959895186
25,0.92,0.45755952854703635,0.19473539656003513,0.8755465724511577,0.07191117133992322,0.047619047619047616,0.2435595421260572,0.1242484121504657,0.07707433142372729,0.037164053633167465
26,0.92,0.28692442556179504,0.11703908675565229,0.5264322666806502,0.08152486297891112,0.047619047619047616,0.20291916584389583,0.017792966226082195,0.056251506816182226,0.04167018293760132
27,0.92,0.22301752741417546,0.21471655510399307,0.20677691761823347,0.23474888613966813,0.047619047619047616,0.12504145677994655,0.04889478972437676,0.07829167305111934,0.06116923892101301
28,0.92,0.22216045493814768,0.08694763628595775,0.799232069945959,0.17004102471520446,0.047619047619047616,0.017758966732811347,0.0014284447177220427,0.07991661672015649,0.04026241352330157
29,0.92,0.16945686802465107,0.21543358543412916,0.06136316917545581,0.24114514233550854,0.047619047619047616,0.288525520914185,0.1028099510319285,0.05216703233551771,0.04592589692147632
30,0.92,0.4345545239772113,0.2282917705318131,0.6501831863572105,0.0209141513855306,0.047619047619047616,0.16301675230533763,0.09031415610679928,0.07546937181463532,0.037738292155615284
31,0.92,0.19891600574476292,0.23270431140203246,0.48376237352430873,0.01261003059957061,0.047619047619047616,0.4170702061714898,0.3352181512401463,0.10521712283140405,0.02778801290191906
32,0.92,0.11320652706883583,0.19687701932816498,0.7900607717439619,0.012494621659296934,0.047619047619047616,0.10386806981827047,0.01885237892860388,0.09378237011116744,0.057105180860441654
33,0.92,0.5063141304408446,0.12046660979492477,0.57646923000882,0.18403552370654847,0.047619047619047616,0.17010534696947716,0.03675659554483913,0.046343961121890626,0.052879390680260215
34,0.92,0.14898373448036328,0.220259511836999,0.15945654530248632,0.09974578977282289,0.047619047619047616,0.37324447296754465,0.11372968074383596,0.07453724000798695,0.025266556780219235
35,0.92,0.7613892027678641,0.06361206893515842,0.7880151507888252,0.1795267923699483,0.047619047619047616,0.12866370363231042,0.10276072831439684,0.06122146397998722,0.031398097124404556
36,0.92,0.2857610255001177,0.05728264516709472,0.27007933480233526,0.016975243667019774,0.047619047619047616,0.002547874801670593,0.0007783655017763502,0.037567999777133786,0.05650723162992612
37,0.92,0.08220879388059119,0.08418840534051777,0.2825036861731437,0.07235798711688582,0.047619047619047616,0.4652333183756385,0.19889872775359205,0.11467801812831052,0.03815076019749474
38,0.92,0.13821658002932702,0.08727619512526671,0.5349271935498101,0.038073330571225555,0.047619047619047616,0.1102572385605407,0.1062202752241739,0.08273353223695713,0.020560691731616565
39,0.92,0.4383845667897648,0.08500052955871203,0.8109258629776452,0.13736176875767125,0.047619047619047616,0.4226288995285853,0.3931158747645015,0.0775643336223771,0.04339531283427625
40,0.92,0.15776074897127423,0.1065006706027935,0.2887688116373166,0.18668689115300743,0.047619047619047616,0.12536620665621356,0.014174767308643697,0.08474391910054789,0.05817445786024661
41,0.92,0.6748135455078738,0.20387993751796896,0.6335036696938754,0.19210827934068384,0.047619047619047616,0.3421284108378885,0.28130177537410694,0.07348558105269154,0.05260680824181454
42,0.92,0.8907671635717006,0.16131350561226634,0.8117121452350797,0.06407903328137349,0.047619047619047616,0.03340840369690731,0.017648602604252047,0.05939871989271259,0.026654208394148112
43,0.92,0.1794110436263141,0.15724192269647497,0.582928056383335,0.16179610976974326,0.047619047619047616,0.1876615856827529,0.10228780303879352,0.09841611324199104,0.04517241222342263
44,0.92,0.3647788288652978,0.19215004090323468,0.37992221065143406,0.11807364783222013,0.047619047619047616,0.18784083137850285,0.0004624020050216724,0.057083068933365046,0.0222492608364278
45,0.92,0.06348188578453616,0.11903208939059998,0.7049310961752705,0.12298504646658995,0.047619047619047616,0.2582045312970683,0.1939171030663939,0.08212294714776378,0.03946186365120307
46,0.92,0.11946596861926477,0.14964331304165124,0.574359177346018,0.06469202747278904,0.047619047619047616,0.1345990214998546,0.07159148221091874,0.06035696663987661,0.05691255847118333
47,0.92,0.7384933966524687,0.24612384189224956,0.566290910962079,0.18996799954970553,0.047619047619047616,0.10276288073150287,0.10074881851001395,0.06334174398810942,0.038370111736994776
48,0.92,0.12037307061987688,0.1291511689272327,0.43887218453547183,0.03734183616829925,0.047619047619047616,0.3078091997593719,0.2603238806002988,0.09186170188222165,0.019889203845691043
49,0.92,0.24912165094114724,0.24468492961447857,0.7251557170107685,0.1027584737494798,0.047619047619047616,0.16149088784631316,0.11625030010801242,0.08125515406179211,0.012259319990764326
50,0.92,0.1508095035816736,0.15404609536210523,0.15470403823823453,0.11146190828167757,0.047619047619047616,0.01873227542361649,0.006487438339714222,0.0657844448799382,0.04811701927476394
51,0.92,0.6894121146629949,0.23011261648885922,0.8356853677213278,0.21580170304337892,0.047619047619047616,0.08208758535067454,0.017791514715022796,0.0723851805171187,0.032966170916497575
52,0.92,0.8341598794014752,0.07013976086033676,0.8501806782165446,0.142750034163915,0.047619047619047616,0.05583033379049815,0.02122260411628254,0.055025198839805896,0.01321481674004294
53,0.92,0.20197582290337818,0.0587849266725341,0.3557957421312318,0.09970465332282316,0.047619047619047616,0.2492162332907524,0.19386166521114823,0.08057999982571211,0.022769504821431207
54,0.92,0.5474191635196499,0.12536401597136929,0.7756687261859577,0.08276194912274004,0.047619047619047616,0.14794994146028928,0.10547715185268038,0.07418122307170666,0.054799167538208945
55,0.92,0.25748646124193947,0.2362806291221632,0.7648402045155671,0.22427399562185119,0.047619047619047616,0.45098625681250887,0.2988150690224413,0.10383750988115002,0.012261153111987052
56,0.92,0.2342298080800173,0.11407990568735536,0.29952082026432403,0.08941058404762478,0.047619047619047616,0.22593856354322278,0.16205576907574287,0.07560295891176765,0.027578513456141734
57,0.92,0.3334788119068218,0.1625043401957697,0.5835555976864352,0.0330646590139915,0.047619047619047616,0.12996027024202633,0.0825964019064238,0.05446438085614592,0.04911113795451118
58,0.92,0.38665621628270647,0.18184745792725993,0.7789587731319729,0.1235928295078069,0.047619047619047616,0.1607115338694146,0.13260602103874106,0.07953170527337568,0.016986894918081696
59,0.92,0.6965909456299095,0.21356586169767006,0.6017701747545717,0.15371366567576836,0.047619047619047616,0.316005035642666,0.3084711317387962,0.05208222067290714,0.028202485020092233
60,0.92,0.08698481821572276,0.0801964309260584,0.6670088965374765,0.18286509648031526,0.047619047619047616,0.4396012889742732,0.22316050049112401,0.0875538734124103,0.04636902143205525
61,0.92,0.38558128432133143,0.058350768373072716,0.6416679588083518,0.1573725557672213,0.047619047619047616,0.31963068364434133,0.2677155091178527,0.08075874414538843,0.03341927060755979
62,0.92,0.46230964801937036,0.09508243107652602,0.6831205577925029,0.24137007620086026,0.047619047619047616,0.44808516979181495,0.4189568293052127,0.09687665566536842,0.046500286061603065
63,0.92,0.31707424287423,0.07592722721088561,0.4763867965142099,0.04250499712308811,0.047619047619047616,0.3506014350769883,0.04747689983446352,0.046948964999231,0.05385887884747439
64,0.92,0.3986386659839982,0.2306769815809162,0.4518674395429586,0.05832192543822218,0.047619047619047616,0.36257918837797715,0.21099391407559168,0.059440434018729005,0.03431866397156416
65,0.92,0.7037773719390936,0.24482096052258095,0.6557580557043869,0.11662665226351998,0.047619047619047616,0.49588942871567776,0.12210689086571824,0.046096431722488077,0.056190787694931355
66,0.92,0.48213955367573824,0.0934635833340451,0.3176243187077932,0.15919639306981304,0.047619047619047616,0.21759488321200557,0.05007862767880102,0.03878725684448848,0.03997141695308953
67,0.92,0.8711145863099086,0.175514311557598,0.9557015271412651,0.1955000442467445,0.047619047619047616,0.25466034631749745,0.002348626969236025,0.03916466642830418,0.04114873149475244
68,0.92,0.6863307983632313,0.09285732968866418,0.648936290828947,0.14841851158263072,0.047619047619047616,0.21061287820615562,0.17443798243032932,0.048439451965641915,0.02552716332403923
69,0.92,0.15096950223305258,0.22581786582366847,0.8141134274879063,0.15045678381064678,0.047619047619047616,0.2560921967148225,0.14605270184816344,0.0997020238017554,0.023893694437045792
70,0.92,0.8056695907042926,0.18285609926129154,0.5799877698083585,0.06491780323952873,0.047619047619047616,0.15673637466668014,0.08023353667457547,0.0359129866836119,0.031435762391071355
71,0.92,0.35851214312959223,0.07971499093769496,0.6996572633454046,0.14478689358215113,0.047619047619047616,0.3867388079930607,0.2624371961173454,0.08323078401744581,0.03267894408204751
72,0.92,0.05230201544171745,0.14448034623830724,0.27353868050656616,0.09735758007974146,0.047619047619047616,0.279388340741575,0.039656119721791734,0.08625142158920943,0.016368319486927137
